Country.Name,Year.cutoff,lambda,pi.mean,gamma_all,gamma_outputfall,gamma,g,delta
Latvia,2004,0.056810131072998045,0.03694968553459151,-3.7953062057495117,-6.26451301574707,0.0626451301574707,0.03326503601941196,0.011349999904632568
Latvia,2005,0.05730103969573975,0.036226415094339375,-3.5906124114990234,-6.26451301574707,0.0626451301574707,0.037439245581626895,0.011399999856948853
Latvia,2006,0.05730103969573975,0.034833091436865374,-3.5906124114990234,-6.26451301574707,0.0626451301574707,0.042787800018603994,0.011349999904632568
Latvia,2007,0.05730103969573975,0.03354297693920316,-3.5906124114990234,-6.26451301574707,0.0626451301574707,0.04822394388062614,0.011299999952316285
Latvia,2008,0.057791948318481445,0.03301886792452809,-3.7953062057495117,-6.567152738571167,0.06567152738571166,0.05166187111536662,0.011033333539962768
Latvia,2009,0.2242836570739746,0.03448275862068967,-13.526933670043945,-13.526933670043945,0.13526933670043945,0.05166187111536662,0.011299999952316285
Latvia,2010,0.2242836570739746,0.03333333333333334,-13.526933670043945,-13.526933670043945,0.13526933670043945,0.03943194940686226,0.011349999904632568
Latvia,2011,0.2242836570739746,0.03225806451612905,-13.526933670043945,-13.526933670043945,0.13526933670043945,0.0347943847319659,0.011399999856948853
Latvia,2012,0.2242836570739746,0.03125,-13.526933670043945,-13.526933670043945,0.13526933670043945,0.03640637185838488,0.012087500095367432
Latvia,2013,0.2242836570739746,0.03030303030303032,-13.526933670043945,-13.526933670043945,0.13526933670043945,0.03661373012944272,0.012775000333786011
Latvia,2014,0.2242836570739746,0.02941176470588235,-13.526933670043945,-13.526933670043945,0.13526933670043945,0.035997969388961784,0.015020833611488342
Latvia,2015,0.2242836570739746,0.028571428571428567,-13.526933670043945,-13.526933670043945,0.13526933670043945,0.035168658381416674,0.017266666889190672
Latvia,2016,0.2242836570739746,0.02777777777777777,-13.526933670043945,-13.526933670043945,0.13526933670043945,0.034920859824527396,0.017329166531562804
Lebanon,1990,0.06156854629516602,0.03962264150943407,-3.602053999900818,-9.443121433258057,0.09443121433258056,-0.003732019901275649,0.010775000154972077
Lebanon,1991,0.05489142417907715,0.039451114922812974,-3.7458600997924805,-9.443121433258057,0.09443121433258056,-0.015593937527049673,0.008774999976158143
Lebanon,1992,0.05464460849761963,0.0377358490566037,-3.491720199584961,-9.046422004699707,0.09046422004699707,0.017538891235987352,0.010775000154972077
Lebanon,1993,0.05464460849761963,0.034833091436864985,-3.491720199584961,-9.046422004699707,0.09046422004699707,0.019647323901836676,0.012775000333786011
Lebanon,1994,0.05464460849761963,0.0323450134770889,-3.491720199584961,-9.046422004699707,0.09046422004699707,0.023243745395115437,0.015020833611488342
Lebanon,1995,0.05464460849761963,0.03270440251572311,-3.491720199584961,-9.443121433258057,0.09443121433258056,0.027047342300415046,0.017266666889190672
Lebanon,1996,0.05184954643249512,0.033018867924528385,-4,-9.443121433258057,0.09443121433258056,0.02941487342119217,0.015020833611488342
Lebanon,1997,0.05184954643249512,0.031076581576026514,-4,-9.443121433258057,0.09443121433258056,0.030060002944048723,0.012775000333786011
Lebanon,1998,0.05439779281616211,0.03249475890985333,-3.7458600997924805,-8.681434631347656,0.08681434631347656,0.03405106332567004,0.012087500095367432
Lebanon,1999,0.05489142417907715,0.03674280039721927,-4.2176673412323,-5.762015342712402,0.057620153427124024,0.03431153372714394,0.011399999856948853
Lebanon,2000,0.05489142417907715,0.03679245283018856,-4.609468698501587,-6.26451301574707,0.0626451301574707,0.03219595703482628,0.010162499845027923
Lebanon,2001,0.055196635723114014,0.037735849056603474,-4,-6.013264179229736,0.06013264179229736,0.031186625758806867,0.008924999833106994
Lebanon,2002,0.05550184726715088,0.03687821612349902,-4.2176673412323,-6.26451301574707,0.0626451301574707,0.03154177917675538,0.01011249989271164
Lebanon,2003,0.056810131072998045,0.03855619360131253,-3.7953062057495117,-6.26451301574707,0.0626451301574707,0.031648658384447505,0.011299999952316285
Lebanon,2004,0.056810131072998045,0.03694968553459151,-3.7953062057495117,-6.26451301574707,0.0626451301574707,0.03103829763829708,0.011349999904632568
Lebanon,2005,0.05730103969573975,0.036226415094339375,-3.5906124114990234,-6.26451301574707,0.0626451301574707,0.03219670946598053,0.011399999856948853
Lebanon,2006,0.05730103969573975,0.034833091436865374,-3.5906124114990234,-6.26451301574707,0.0626451301574707,0.03201544910669327,0.011349999904632568
Lebanon,2007,0.05730103969573975,0.03354297693920316,-3.5906124114990234,-6.26451301574707,0.0626451301574707,0.03145985247912231,0.011299999952316285
Lebanon,2008,0.057791948318481445,0.03301886792452809,-3.7953062057495117,-6.567152738571167,0.06567152738571166,0.0336723327423845,0.011033333539962768
Lebanon,2009,0.057791948318481445,0.03968770331815219,-3.7953062057495117,-5.681007385253906,0.05681007385253906,0.035700473764847064,0.011299999952316285
Lebanon,2010,0.062129030227661135,0.04528301886792441,-5.59999942779541,-6.26451301574707,0.0626451301574707,0.037861950536568954,0.011349999904632568
Lebanon,2011,0.5269489669799805,0.03225806451612905,-2.017228126525879,-2.017228126525879,0.020172281265258787,0.037861950536568954,0.011399999856948853
Lebanon,2012,0.5269489669799805,0.03125,-2.017228126525879,-2.017228126525879,0.020172281265258787,0.03693662883773927,0.012087500095367432
Lebanon,2013,0.5269489669799805,0.03030303030303032,-2.017228126525879,-2.017228126525879,0.020172281265258787,0.036658686343580486,0.012775000333786011
Lebanon,2014,0.5269489669799805,0.02941176470588235,-2.017228126525879,-2.017228126525879,0.020172281265258787,0.03634667586196552,0.015020833611488342
Lebanon,2015,0.5269489669799805,0.028571428571428567,-2.017228126525879,-2.017228126525879,0.020172281265258787,0.03586675049627528,0.017266666889190672
Lebanon,2016,0.5269489669799805,0.02777777777777777,-2.017228126525879,-2.017228126525879,0.020172281265258787,0.03507500335148403,0.017329166531562804
Lithuania,1990,0.06156854629516602,0.03962264150943407,-3.602053999900818,-9.443121433258057,0.09443121433258056,0.03965355634689331,0.010775000154972077
Lithuania,1991,0.05489142417907715,0.039451114922812974,-3.7458600997924805,-9.443121433258057,0.09443121433258056,0.03902801632881164,0.008774999976158143
Lithuania,1992,0.05464460849761963,0.0377358490566037,-3.491720199584961,-9.046422004699707,0.09046422004699707,0.038766757249832154,0.010775000154972077
Lithuania,1993,0.05464460849761963,0.034833091436864985,-3.491720199584961,-9.046422004699707,0.09046422004699707,0.038766757249832154,0.012775000333786011
Lithuania,1994,0.05464460849761963,0.0323450134770889,-3.491720199584961,-9.046422004699707,0.09046422004699707,0.03806485891342163,0.015020833611488342
Lithuania,1995,0.05464460849761963,0.03270440251572311,-3.491720199584961,-9.443121433258057,0.09443121433258056,0.03895842671394348,0.017266666889190672
Lithuania,1996,0.05184954643249512,0.033018867924528385,-4,-9.443121433258057,0.09443121433258056,0.039516093730926516,0.015020833611488342
