"pi","rel_dev","wc_down","wc_up","ratio"
0.1,0.75,0.0380865921107711,0.00714536705945257,5.33024990792973
0.105,0.75,0.0391567257935627,0.00741791419603477,5.27867062879937
0.11,0.75,0.040211661805067,0.00769304846018781,5.22701267425596
0.115,0.75,0.041252753751705,0.00797112081747431,5.17527643807263
0.12,0.75,0.0422812106549068,0.00825246834316429,5.12346232626621
0.125,0.75,0.0432981181209795,0.00853741773368588,5.07157075729575
0.13,0.75,0.0443044557141398,0.00882628827584042,5.01960216226012
0.135,0.75,0.045301111332279,0.00911939439612286,4.9675569850931
0.14,0.75,0.0462888931935441,0.00941704788365705,4.9154356827554
0.145,0.75,0.0472685399013463,0.00971955985920114,4.86323872542427
0.15,0.75,0.0482407289510647,0.0100272425471425,4.81096659667538
0.155,0.75,0.0492060839633431,0.0103404108957963,4.75861979366284
0.16,0.75,0.0501651808693715,0.0106593840826427,4.70619882729046
0.165,0.75,0.0511185532279312,0.010984486934546,4.65370422237604
0.17,0.75,0.0520666968186914,0.011316051288022,4.60113651780666
0.175,0.75,0.0530100736286991,0.0116544173108328,4.54849626668388
0.18,0.75,0.053949115327367,0.0119999348033359,4.49578403645738
0.185,0.75,0.0548842263080778,0.0123529644958755,4.44300040904374
0.19,0.75,0.0558157863608555,0.0127138793569259,4.39014598093144
0.195,0.75,0.0567441530295376,0.0130830659255986,4.33722136326706
0.2,0.75,0.0576696636980022,0.0134609256813804,4.28422718192204
0.205,0.75,0.0585926374427771,0.0138478764635587,4.23116407753682
0.21,0.75,0.0595133766834458,0.0142443539526511,4.1780327055387
0.215,0.75,0.0604321686574182,0.0146508132262522,4.1248337361323
0.22,0.75,0.0613492867416141,0.0150677304020581,4.0715678542559
0.225,0.75,0.0622649916402922,0.0154956043813613,4.01823575950266
0.23,0.75,0.0631795324554748,0.0159349587070844,3.96483816599954
0.235,0.75,0.0640931476540978,0.0163863435513835,3.91137580224153
0.24,0.75,0.0650060659440715,0.0168503378490795,3.85784941087235
0.245,0.75,0.0659185070697792,0.0173275515945901,3.804259748409
0.25,0.75,0.0668306825361576,0.0178186283217772,3.75060758489923
0.255,0.75,0.0677427962693048,0.0183242477880907,3.69689370350755
0.26,0.75,0.0686550452205645,0.0188451288867414,3.6431189000181
0.265,0.75,0.0695676199201599,0.0193820328133033,3.5892839822462
0.27,0.75,0.070480704985704,0.0199357665162708,3.53538976934648
0.275,0.75,0.0713944795902938,0.0205071864646782,3.48143709100536
0.28,0.75,0.0723091178943167,0.0210972027700377,3.4274267865032
0.285,0.75,0.073224789444642,0.0217067837046344,3.37335970363073
0.29,0.75,0.0741416595444421,0.0223369606637562,3.31923669744128
0.295,0.75,0.0750598895965341,0.0229888336258479,3.26505862881791
0.3,0.75,0.075979637422813,0.0236635771720071,3.21082636283298
